dataset,essay_id,text,score,normalized_score,score_band,essay_set,prompt_group,prompt_name,task,grade_level
ASAP-AES,18783,I  am patient  every  even  this  year  for  @CAPS1 so  I can get  some  @CAPS2. I was buying  @CAPS2  but  I cant buy  any more  because   @CAPS1 is  coming up  that  why I half to be  patient because it will seen longer  if  I keen getting excited. Every day  is  patient sometimes I cant wait to  get  out  of  school so  I can  play. Im always trying to be patient because its one holiday after another each one gets more exiting. Every kid tries but being patient is one of the most hard thing to do. How Im patient is I act like nopthing  exciting  is even comimg up.,9,0.3181818181818182,LOW,7.0,NARRATIVE,,,
ASAP++,15860,"In the excerpt ""The Mooring Mast"" by @ORGANIZATION2, the builders of the Empire State Building faced some obstacles in attempting to allow dirigibles to dock there.Although this sounded like a great idea and seemed possible at first, it was not. The idea of the mooring mast of the @CAPS1 State Building was neither practical nor safe. In paragraph fourteen, Marcia states why this dirigible idea wasn't so safe. ""The winds on top of the building were constantly shifting due to violent air currents. In the last sentence of paragraph fourteen, the author states another reason the idea wasnt safe nor practical. ""they would be dangling high above pedestrians on the street,""",1,0.25,LOW,6.0,,,,
ASAP-AES,12566,"The mood created by the author in the memoir is nice, and calm. It describs How the famialy let people in their house with open arms and a open door and  that makes me and mybe other people seem the mood is nice. The mood is calm because  it talks about this famialy doing nice thing and there is no yelling no fighting and I find the to be nice, and calm.",1,0.25,LOW,5.0,CONSTRUCTED_RESPONSE,,,
ASAP_2.0,AAAOPP13416000055599,"Taking care of animals and traveling was not all Luke did on the boat, the cowboys played lots of games. Some of the games they played was baseball and volleyball games in the empty holds where animals lived. They also did table-tennis tournaments, fencing, boxing, reading, whittling and other games to pass time. Luke said that ""being a Seagoing Cowboy was much more than an adventure."" For Luke it opened up the world to him. Luke had a lot of fun seeing different sites, meeting new people, playing fun games and caring for people in a different, and better way.",1,0.0,LOW,,,"""A Cowboy Who Rode the Waves""",Text dependent,6.0
ASAP-AES,188,All you have to do id turn on the computer and then you have an intent link to them. Chat rooms also help you meet other people your age from the next town over on enywhere in the country. They @MONTH1 even became your new best friend. When you write a paper do you want to have to write it once then go back and write it @NUM1 more times? Theres a much simpler way it's called a computer. You can write your first draft then all you have to do inordre to get a final copy is reread it and make changes when they are nessecary. Computers also help kids spell better. All they have to do is hit a button.,9,0.7,HIGH,1.0,HOLISTIC,,,
ASAP_2.0,AAAOPP13416000039582,"Driverless cars aren't really driverless and may even cause more problems on the road. One negative aspect is that eventually the ability to drive a car would wither away and die. For example, if you took a one year old baby and cooked for and fed him until he was eighteen, would he be able to cook? Even if he watched you cook, he can never cook how you cook because he was never taught the skill. It wasn't needed. So just like that, manual driving can be eradicated for generations to come. Eventually, would anyone know how to drive? Driverless cars are a thing of the future, but are they really better for us? Not necessarily. Although, there are just as many good things as there are bad.",6,1.0,HIGH,,,Driverless cars,Text dependent,10.0
ASAP_2.0,AAAOPP13416000039774,"I dont really know why wold they need smarter cars then we already need that would just make everything diffrent more then its alrady is why cant they just make other things that the world really needs . for example bulldings for those that dont have an home,or are living under briges. why cant they make hospitals in other places were thy need them insted of cars that are smart how are they gonna help us we alredy have cars that can transport us why cant they use that technology to make the world better bye making smart cars is not gonna make it better some people are not even gonna be able to buy them because of how expensive they are going to be,how are the rest goona get them ,with what money are they going to buys them.",1,0.0,LOW,,,Driverless cars,Text dependent,10.0
ASAP_2.0,5165539,"Walking or riding a bike is a good opportunity to realize the beauty of life without stressing out over bad drivers or traffic, saving money, and getting exercise. Most people would think banning cars on the street is a good idea for those few reasons. I know that it is super effective although some people may not see it until it actually changes.",4,0.6,MID,,,Car-free cities,Text dependent,10.0
ASAP-AES,406,Thirdly student will never learn nothing if they wast there time because computer is for studing and many students don't have there time wisely as they should also many student should be useing comput only sometimes not everyday I have notice that so many students don't learn from compu for because they are not studing tests mre then @PERCENT1 stundent fail classes because of computer. First of people should be spending time with  and friends because they are teh most important people aroun ud not computers. Are still with me? Secondly friends are the most important people I ever had because they care about and love you like you're ther families but what if you just wast youre on computer how are you know all your friends.,8,0.6,MID,1.0,HOLISTIC,,,
ASAP-AES,778,"Lastly, @CAPS2 away the advancing in computers maens that you are @CAPS2 away family and friends connectionds. Computers offer many sites such as facebook or myspace o connect with loved ones. You can also go on @CAPS3 or sype to chat or video chat with them. Yes, maybe computers are @CAPS2 away time with family but what about @CAPS4 or @CAPS5 in @LOCATION1 that you have at to in over a year? Don't you want some time them too? You can make time limts for yourself so that you don't spend your whole time on the computer. This way you can took to all of your loved ones would you want to be the one crushing the oceans of a child that wants to talk/ see his grandparents?",9,0.7,HIGH,1.0,HOLISTIC,,,
ASAP_2.0,AAAOPP13416000123154,"In conclusion, not only is it more intersting to say that there is a car that can self-drive itself, these cars are safer, more efficient, and are more able to create a system similar to taxes or busses. It helps the environment, it helps the needing families, and it helps in the case of a dangerous situation.",5,0.8,HIGH,,,Driverless cars,Text dependent,10.0
ASAP++,1615,"According to @PERSON1 of the @ORGANIZATION3 of the eye @CAPS4 you have to watch what keys you are using when typing, your brain builds a connection with your hand, thus better eye hand coordination, ""@CAPS5 there is the fact that millions of @LOCATION1 are in car acidents a year, wich @PERCENT1 are cause by the fact that the driver of a vehicle had to look down at the whey to make that they kept thier car. On that road, this being that they have no eye hand coordination, @CAPS6 I that it computers were in the of every person in the world there would be less acidents a year. Secondly there is the fact that a computer can transport somebody in there mind. to a distant and or person.",9,0.7,HIGH,1.0,,,,
ASAP-AES,12342,"I the memoir ""Narciso Rodriguez"" from Home: The Blueprints of our lives, the mood created by the author is about a cuban that came to american without knowing the language and having no money they made it. It wasn't easy though and for that, that is why Narciso is so grateful. She also tells about how alot of people have came and gone because her parents have open arms to anyone.",1,0.25,LOW,5.0,CONSTRUCTED_RESPONSE,,,
ASAP_2.0,AAAOPP13416000047303,My next reason that you should join the Seagoing Cowboys progam is because it helps you be more aware of people in other countries and their needs. Im very grateul that I had the opportunity to participate in this program. It relly opened up the world to me. I learned that people in other countries need help during times of war. My final reason that you should join this program is because you will learn the true meaning of hard work. I had to clean animal stalls and feed and water all the animals two or three time a day. I also had to pull up bales of hay and bags of oats from the lower holds of the ship. It may sound miserable bit it kept me very busy during those long days at sea.,3,0.5,MID,,,"""A Cowboy Who Rode the Waves""",Text dependent,6.0
ASAP_2.0,5299145,"Automobiles are to blame for a large amount of pollution on this planet. Passenger cars are responsible for twelve percent of greenhouse gas emissions in Europe and up to fifty percent in some car-intensive areas in the United States. Greenhouse gas is slowly chipping away at Earths ozone layer and if the ozone layer went away human life itself will soon start to go away. So it will probably be smart to limit car usage in every continent and major inustrialized areas so we can help stop the the destruction of the ozone. Or at the very least slow it down so generations to come have a stable environment to live in rather than wearing some sort of gas mask or philter over their face to breathe, like Beijing, Chinas population has to.",3,0.4,MID,,,Car-free cities,Text dependent,10.0
ASAP-AES,3356,"that make them think it is ok to do or say these things. I think not. In my opinion I think that this idea could help out our youth and there parents make better choices in the content they are submitting themselves to. So if you feel like this is a good idea contact your local library and tell them you are in favor of the @CAPS7,  '@CAPS7 @CAPS8.' @CAPS9't wait until you have forgotten, call now.",3,0.4,MID,2.0,HOLISTIC,,,
ASAP++,4258,"Plus all that money and time and hard work it took to make the song, book or @CAPS1 it takes up to like almost @NUM2 years for a @CAPS1 to come out and when a song comes out u hardly even no its new because they never tell you like listen to bullet for my valentin's new song on @NUM3 or anything and when a new book comes out it's usually like harry potter or somthing like that but no, no @CAPS1 should ever be takin off the shelf's nor book nor music nor magizine. @ORGANIZATION1",2,0.2,LOW,2.0,,,,
ASAP-AES,3327,Kids need to understand what books are good for them from there age and otherwise their brain will start confusing them at their age.The conclusion is that libraries need to make something up so children don't read these kind of books that the only thing will do is mess up with there brain and then there parents will need to pay so their children could take therapy and others kids so their brain could be better. So please libraries do something so parents don't need to worry about what there kids read these days. Like for me I won't like my kid read offensive things because they will start doin the same things so libraries do something about these on offensive things.,3,0.4,MID,2.0,HOLISTIC,,,
ASAP_2.0,AAAVUP14319000143788,"Each of the previous missions were unmanned, and that was for a good reason, since no spacecraft could survive for more than a few hours there. Most of the atmosphere is carbon dioxide, almost 97 percent of the atmosphere is carbon dioxide. What is even more challenging is the cloud that contain highly corrosive sulfuric acid, which are also located in the atmosphere. The temperature let alone would kill a person right on contact. The temperature is 800 degress Fahrenheit, and the atmospheric presure is 90 times greater than what we have ever experienced on are planet. So although Venus is a pretty cool planet, it can be a dangerous on too because of the misleading name, the planet being considered Earth's twin, and for the atmosphere being outragingly different than ours here on Earth.",1,0.0,LOW,,,Exploring Venus,Text dependent,10.0
ASAP-AES,13076,"I think the mood that is created by the author in this memoir is cheerful and welcoming. In paragraph @NUM1 he says, ""My parents always kept their arms and the door opened to the many people we considered family, knowing that they would do the same for us."" The author is explaining how their house was always open to anyone that ever needed, all wanted to come, which is a very welcoming feeling. In paragraph @NUM2 he says, ""I will always be grateful to my parents for their love and sacrifice."" The movie is creating when he is saying this is very cheerful because he is very happy and grateful for what his parents did for him, and by him showing that it makes the mood cheerful.",2,0.5,MID,5.0,CONSTRUCTED_RESPONSE,,,
ASAP++,870,"Lastly, computers have made a lot of people when people got to Too many people a major view when it comes to family and friends. Although computers are an easy way to communicate to people, they should not be the anly thing you use to talk to friends and family. So as you can see, computers are causing us to lead on-healthy lives because our priorities on health are why to low. They also keep you from enjoying life, to the fullest and can separate you from friends and family when not controlled. I am positive that I have pursuaded you not to spend so much time on a computer. So next time you are using a computers, think of all the things you are missing out in life!",9,0.7,HIGH,1.0,,,,
ASAP-AES,12167,"The mood created in the memoir ""Narciso Rodriguez"" by Narciso Rodriguez is very happy. The mood is happy because all you read are good things @CAPS1 put you in a good. one example is ""Growing up in this environment instilled in me a great sense that ""family"" had nothing to do with being a blood relative."" @CAPS1 means to me that any one can be your family.",1,0.25,LOW,5.0,CONSTRUCTED_RESPONSE,,,
ASAP-AES,960,The bill on a computer up outer a while and people dont relize that when they are payings for the internet they arnt getting allot what the cable com sars they on giving you. Not every are knows how to use a computer lik older adults dont know how to really know use the full ptonole of a computer. Because they never learnd how to use computer. In this is the computer arnt a hose help for our society.Coose of the time and the cost and the knolage on computers.,7,0.5,MID,1.0,HOLISTIC,,,
ASAP-AES,4219,"But it shouldn't get to the point where people can just remove books from the shelf at their own free will. Without some limit on censorship in a library, absolutely anything could be found there. When we think of a library we don't think of things that are offensive. People view the library as a positive place, created for people's own personal enjoyment. That doesn't mean that we will never find something that @DATE2 offend us in some way there, but people should not be able to just remove books from the shelf because they don't agree with their morals. @CAPS2 is different, and nobody has the right to tell them what exactly is right or wrong, up to a certain point.",5,0.8,HIGH,2.0,HOLISTIC,,,
ASAP-AES,12078,"The mood of the author in the memoir is very happy. I think it sounds like the child of the greatful family is talking and she is one of the most greatful people I ever read about because she says ""I will never forget how my parents turned this simple house to a home"".",1,0.25,LOW,5.0,CONSTRUCTED_RESPONSE,,,
ASAP++,3429,"In conclusion I think that if a book is on a shelf, the book should be taken off if found offensive. There fighting for a book and you don't whant that. The libraries needs more than one copy of a book, so they will not fight over it. If the libraries don't have copies of a book it will create prolums. So, think before yo act. It can be found offensive at time. Sincesly,                                                                         @PERSON1",2,0.2,LOW,2.0,,,,
ASAP-AES,11830,The mood created by the author is showing how cuban's lived and about Their cultra and how they lived and some people from other cultra's could be diffrent and don't @CAPS1 cared about their cultra's and some people do care about their cultra like narciso parents. that is what the author is trying to say. and that some people should respect their cultra and not @CAPS2 To be a different cultra.,1,0.25,LOW,5.0,CONSTRUCTED_RESPONSE,,,
ASAP-AES,13280,"The mood of the memoir is gracious. Rodriguez is grateful for many things listed in this memoir. In paragraph @NUM1, @CAPS2 says @CAPS2 is grateful for his inheritance of the cuban culinary gift. In @CAPS1 @NUM2, by saying ""My mother and father had come to this country with such courage, without any knowledge of the language or the culture. They came selflessly, as many immigrants do, to give their children a better life."" @CAPS2 shows his gratitude for his parents moved to @LOCATION1. In paragraph @NUM3 @CAPS2 shows his gratitude for his parents love in the quote ""I will always be grateful to my parents for their love and sacrifice."" Rodriguez is also grateful for the love and hapiness of the home.",3,0.75,HIGH,5.0,CONSTRUCTED_RESPONSE,,,
ASAP++,6429,"Dont let anything stop you with your goals. Going to Yosemite National Park. Takes a status that would out home off side. Forty miles into the trys comes to a town. Got to a water station and get nothing because old men say the water taste like buttery acid. Lead going to hills and azyl towns, @CAPS1 can be rod without anything to drink. People die  from heatatacks because they dont  sits and take herats for water and food.",1,0.3333333333333333,MID,3.0,,,,
ASAP_2.0,AAAVUP14319000065550,"The only reason we are given for this is that ""Astronomers are facinated by Venus because it may well once been the most Earth-like planet in our solar system,"" (TCEV). The author doesn't even clarify how this is impactful to our society today. What is there to gain from a planet that ""may well once been the most Earth-like planet in our solar system?"" In that sentence alone there is still some uneasiness since it's not sure or confirmed that Venus was once like Earth. Therefore, this is why the author of ""The Challenge of Exploring Venus"" doesn't support the idea of studying Venus very clearly. The lack of pros and benifits to our planet adding to the pot of cons and uncertainty that was instead made from reading this article.",5,0.8,HIGH,,,Exploring Venus,Text dependent,10.0
ASAP_2.0,AAAOPP13416000082515,There have been many weird things in space that we could never figure out. Some of those things are just normal stuff that happens in space and some people don't know that happens. It could've just been a normal thing that happen and everyone thinks it's a big piece of information of aliens. People make hypothesis way to quickly based off of what they've seen and heard. Not all things are true. No one has truly seen an alien before and if there were aliens shouldn't have people already have seen one? Earth has been around for a long time and nobody has seen and alien life form.,2,0.2,LOW,,,The Face on Mars,Text dependent,8.0
ASAP++,1734,"As a grandchild to my @PERSON1 all she used to talk about was her days going through the great deppresion, but with computers she got to catch up on the news and @CAPS5 I can sit down with her and have a great conversation. You can also catch up on the shows you are missing when everyone is talking about them in school. The kids won't be missing out! When I was in @NUM4 grade I got my first facebook, I thought I was so could! That @DATE1 I went to camp and met all these new kids and found out that they all have facebooks. @CAPS5 I keep in touch with them, with out lossing my friendships.",9,0.7,HIGH,1.0,,,,
ASAP-AES,196,"You can get a progrem that you can make heats and put it together to make some kind of a song. music is a great thing that all age groups love. That is why I think haveing a computer is a very positive thing. You can do researching, say in touch with friends and family, and do a lot with music. There is so mutch more then thease @NUM2 thing that a computer is good for. I don't think the world would be the same without computers.",8,0.6,MID,1.0,HOLISTIC,,,
ASAP-AES,9795,"I think the author concludes the story like that because its showing the time that will be passing. When it shows time passing, shes grew up more and maybe shell be ready to take the test since now she knows how it is. Also because the hibiscus will be budding, that will make her feel more comfortable and relaxed because it all make her feel more like secure home feeling. hibiscus is budding this way the flower will be starting new and so will she.",2,0.6666666666666666,HIGH,4.0,CONSTRUCTED_RESPONSE,,,
ASAP_2.0,AAAVUP14319000031877,"Venus is called the ''Evening star""

is one of the brighest points of light in the night sky and it also our solar system venus is the second planet from our sun. While venus is simple to see from the distant but safe vantage point of earth. It has proved a very challenging place to examine more closely. It's important that if we study about venus because it help us to know about happed in the world and it help us to know where the sun come from without the sun we won't be able to live long, and it's important to know about the earth. The venus's reputation as a challenging planet for human to study despite its proximity.",1,0.0,LOW,,,Exploring Venus,Text dependent,10.0
ASAP-AES,330,"Now their kid has to go to a cheap school @CAPS2 their family won't go. Statistics show thas @PERCENT3 of families have waste their college money in computers because the family thinks they need a computer. Dr. @DR2 @CAPS6, ""families do not need computers, yet they waste their college money on them. @CAPS2 @ORGANIZATION1 do you think that money from a college fund is worth a computer? Computers are not worth @CAPS1 your children at.",11,0.9,HIGH,1.0,HOLISTIC,,,
ASAP_2.0,AAAOPP13416000044367,In this enviroment today are electronics are becoming very specail to us and the humans that are buliding or providing these are becoming very intelligente to us. They're the ones that are going to help us get transportation when it is needed or when we need help that can bulid robots that act just like humans and that can talk just like us to. But we have some postives and negavtives going on here for these cars today in this enviroment because we don't know foresure if its going to work properly when it needs to be used in the right matter of time. Im going to tell us the postive and negatives on the side of my story for examples.,3,0.4,MID,,,Driverless cars,Text dependent,10.0
ASAP-AES,4019,"That could be very sad for someone because they could of really went through everything in that movie or what ever that magzines says. Another reason censorship should be under control is the titles to these materials. If a child looks at an adult film and it happens to be for a child, wouldnt you think thats a little offensive? I know I would. There is no way I want my child watching some violet movie. We have to think for our children and the people that come in form different countries when it comes to public libraries.",3,0.4,MID,2.0,HOLISTIC,,,
ASAP_2.0,AAAVUP14319000132192,"Studying Venus isnt worthy puting peoples life in danger and taking dangers. There is many reasomns why studying Venus is such a good idea. Reason nyumber one is that it is to dangerous for humans or anyting to be going up to Venus. Reason number two is that they have all te equiment but are they ready do be risking a lot of things. First, studying Venus can be so greatful and amzing but they would be puttin a lot of things in danger just to study Venus. Venus for humans is very dangers. Like the author said in paragrag three, '' Venus has the hottest surface temerature of any planet in our soloar system.'' Despite the fact that Mercury is closer to te sun than Venus is. """,2,0.2,LOW,,,Exploring Venus,Text dependent,10.0
ASAP++,6158,"The cyclist is already tired enough, and just to  add to his misfortune, ""flat roads was replaced by short, rolling hills."" @CAPS1 the hills are short, they still could have put impact on him because of the ropolalive hills. Many features of the story effected the mood of the story.",3,1.0,HIGH,3.0,,,,
ASAP_2.0,AAAOPP13416000023145,"If someone is riding in the driverless car, and the car crashes, the manufacturers should be the ones to blame unless they develop a technology to enable the humans to take complete control if neccesary. Many arguments could be made that the manufacturer didn't program the car correctly anf that is why the person was injured or even so much as killed. This could result in manufacturers of big companies paying millions maybe even billions of dollars in law suits. Driverless cars could cause a lot more accidents because there isn't someone physically watching the surroundings of the car, and technology as simple as calculators can malfunction sometimes, so would you really trust a car run by a computer with your life?",5,0.8,HIGH,,,Driverless cars,Text dependent,10.0
ASAP-AES,9454,"The author concludes the story with that paragraph I think to say that when the hibiscus start to grow back she will be back at what she started. I think that is why because she says In the spring, when the snows melt and the geese return and this hibiscus is building, then I will take that test again.",0,0.0,LOW,4.0,CONSTRUCTED_RESPONSE,,,
ASAP-AES,19000,"When I walked In the store, the manager told me there are no more copys of any basketball games. So I had to be patient for a whole nother @NUM2 weeks, and I get very mad. So I wated @NUM2 weeks for the game and I finaly got the game. I was so mad I had to be  patient that long but I got what it was wroth. So that is my story about being patient.",18,0.7272727272727273,HIGH,7.0,NARRATIVE,,,
ASAP++,13629,"In the memoir ""Narciso Rodriguez"", the mood created by the author was loving, caring, and appreciative. loving is what they did most because they basicly called everyone thier family. For example in paragraph @NUM1 it says that ""My parents always kept thier arms and thier door open to the many people we call family, knowing that they would do the same for us"". Another mood was caring, because they wanted thier children to have a better life. A example is ""My mother and father had to come to this country with such courage, to give thier children a better life, leaving thier friends, families, and career in the country they loved"". This shows they care about thier kids. One last mood is appreciative.",4,1.0,HIGH,5.0,,,,
ASAP_2.0,AAAOPP13416000024842,"formed by shadows giving the illusion of eyes, nose, and mouth. They put out the photo to attract attention to mars with that caption. It explains what the formation is and how it may be mistaken as something other than rocks. ""What the picture actually shows is the Martian equivalent of a butte or mesalandforms common around the American West. It reminds me most of Middle Butte in the Snake River Plain of Idaho, says Garvin. Thats a lava dome that takes the form of an isolated mesa about the same height as the Face on Mars. The study was over and they stopped photographing the face once everybody understood what it was. In this paragraph, a scientist explains the mesa and compares it to a landform on earth.",5,0.8,HIGH,,,The Face on Mars,Text dependent,8.0
ASAP_2.0,AAAOPP13416000039130,"Also, the number one and two things that get most people in wrecks, texting and drinking. People do not have to worry about a driverless care texting someone back or on the phone looking at social media. Driverless cares do not get distracted. People also will not see a driverless car in a bar getting drunk. It just will not happen. The driverless cars will not be pulled over for being intoxicated or swerving because they will not be intoxicated and will be driving safely. Now some people are going to argue and say, ""These really aren't driverless cars, you still have to drive them."" Yes, they are true, as of now. But people should be fine with having to take the wheel sometimes.",5,0.8,HIGH,,,Driverless cars,Text dependent,10.0
